Version,Graph Name,Threads,Event,Power,Iteration
ONPL,luxembourg,48,package-1,64.047,1
ONPL,luxembourg,48,dram,5.98691,1
PLM,netherlands,48,package-0,1253.34,1
PLM,netherlands,48,dram,101.182,1
PLM,netherlands,48,package-1,1118.68,1
PLM,netherlands,48,dram,105.266,1
ONPL,loc-gowalla_edges,48,package-0,47.7476,1
ONPL,loc-gowalla_edges,48,dram,6.87935,1
ONPL,loc-gowalla_edges,48,package-1,85.0049,1
ONPL,loc-gowalla_edges,48,dram,6.66076,1
ONPL,asia,48,package-0,2806.91,1
ONPL,asia,48,dram,266.457,1
ONPL,asia,48,package-1,2734.87,1
ONPL,asia,48,dram,290.489,1
MPLM,in-2004,48,package-0,77.5242,1
MPLM,in-2004,48,dram,11.4339,1
MPLM,in-2004,48,package-1,152.472,1
MPLM,in-2004,48,dram,14.4835,1
OVPL,luxembourg,48,package-0,56.4272,1
OVPL,luxembourg,48,dram,6.6038,1
OVPL,luxembourg,48,package-1,74.847,1
OVPL,luxembourg,48,dram,6.26478,1
OVPL,loc-gowalla_edges,48,package-0,100.356,1
OVPL,loc-gowalla_edges,48,dram,9.71876,1
OVPL,loc-gowalla_edges,48,package-1,112.164,1
OVPL,loc-gowalla_edges,48,dram,9.90387,1
ONPL,kkt_power,48,package-0,392.408,1
ONPL,kkt_power,48,dram,33.8722,1
ONPL,kkt_power,48,package-1,338.963,1
ONPL,kkt_power,48,dram,40.9833,1
ONPL,netherlands,48,package-0,540.426,1
ONPL,netherlands,48,dram,46.838,1
ONPL,netherlands,48,package-1,511.443,1
ONPL,netherlands,48,dram,47.8357,1
MPLM,luxembourg,48,package-0,32.0317,1
MPLM,luxembourg,48,dram,4.1437,1
MPLM,luxembourg,48,package-1,43.4065,1
MPLM,luxembourg,48,dram,3.84152,1
MPLM,loc-gowalla_edges,48,package-0,30.6078,1
MPLM,loc-gowalla_edges,48,dram,6.0681,1
MPLM,loc-gowalla_edges,48,package-1,87.8928,1
MPLM,loc-gowalla_edges,48,dram,6.28135,1
PLM,germany,48,package-0,6608.17,1
PLM,germany,48,dram,915.444,1
PLM,germany,48,package-1,5768.8,1
PLM,germany,48,dram,749.546,1
OVPL,kkt_power,48,package-0,572.401,1
OVPL,kkt_power,48,dram,53.5775,1
OVPL,kkt_power,48,package-1,553.932,1
OVPL,kkt_power,48,dram,56.4076,1
OVPL,netherlands,48,package-0,649.612,1
OVPL,netherlands,48,dram,51.9871,1
OVPL,netherlands,48,package-1,613.325,1
OVPL,netherlands,48,dram,63.0312,1
OVPL,asia,48,package-0,3682.11,1
OVPL,asia,48,dram,350.065,1
OVPL,asia,48,package-1,3580.13,1
OVPL,asia,48,dram,429.379,1
MPLM,kkt_power,48,package-0,677.669,1
MPLM,kkt_power,48,dram,56.68,1
MPLM,kkt_power,48,package-1,627.813,1
MPLM,kkt_power,48,dram,70.8691,1
MPLM,netherlands,48,package-0,539.615,1
MPLM,netherlands,48,dram,49.8816,1
MPLM,netherlands,48,package-1,546.409,1
MPLM,netherlands,48,dram,50.8738,1
ONPL,delaunay_n24,48,package-0,6496.37,1
ONPL,delaunay_n24,48,dram,709.672,1
ONPL,delaunay_n24,48,package-1,6405.4,1
ONPL,delaunay_n24,48,dram,632.841,1
PLM,roadNet-PA,48,package-0,774.34,1
PLM,roadNet-PA,48,dram,66.1347,1
PLM,roadNet-PA,48,package-1,843.125,1
PLM,roadNet-PA,48,dram,75.8046,1
ONPL,germany,48,package-0,2818.53,1
ONPL,germany,48,dram,318.027,1
ONPL,germany,48,package-1,2806.7,1
ONPL,germany,48,dram,261.712,1
ONPL,roadNet-PA,48,package-0,308.607,1
ONPL,roadNet-PA,48,dram,36.7603,1
ONPL,roadNet-PA,48,package-1,389.82,1
ONPL,roadNet-PA,48,dram,33.8451,1
