Version,Graph Name,Threads,Event,Power,Iteration
ONLP,germany,48,package-0,189.684,1
ONLP,germany,48,dram,35.402,1
ONLP,germany,48,package-1,196.514,1
ONLP,germany,48,dram,30.97,1
MPLP,delaunay_n24,48,package-0,297.147,1
MPLP,delaunay_n24,48,dram,52.0934,1
MPLP,delaunay_n24,48,package-1,272.463,1
MPLP,delaunay_n24,48,dram,48.0707,1
PLP,europe,48,package-0,3763.71,1
PLP,europe,48,dram,399.047,1
PLP,europe,48,package-1,3835.54,1
PLP,europe,48,dram,356.115,1
PLP,luxembourg,48,package-0,7.21305,1
PLP,luxembourg,48,dram,1.0535,1
PLP,luxembourg,48,package-1,11.645,1
PLP,luxembourg,48,dram,1.20962,1
PLP,roadNet-PA,48,package-0,16.7639,1
PLP,roadNet-PA,48,dram,2.05185,1
PLP,roadNet-PA,48,package-1,19.0962,1
PLP,roadNet-PA,48,dram,2.03516,1
PLP,netherlands,48,package-0,71.5533,1
PLP,netherlands,48,dram,7.27226,1
PLP,netherlands,48,package-1,57.4846,1
PLP,netherlands,48,dram,8.01195,1
ONLP,delaunay_n24,48,package-0,378.125,1
ONLP,delaunay_n24,48,dram,59.2066,1
ONLP,delaunay_n24,48,package-1,381.946,1
ONLP,delaunay_n24,48,dram,60.6695,1
MPLP,luxembourg,48,package-0,7.61613,1
MPLP,luxembourg,48,dram,1.40321,1
MPLP,luxembourg,48,package-1,15.4784,1
MPLP,luxembourg,48,dram,1.51291,1
MPLP,roadNet-PA,48,package-0,21.1216,1
MPLP,roadNet-PA,48,dram,4.90799,1
MPLP,roadNet-PA,48,package-1,59.1856,1
MPLP,roadNet-PA,48,dram,5.12504,1
MPLP,netherlands,48,package-0,41.1463,1
MPLP,netherlands,48,dram,8.80128,1
MPLP,netherlands,48,package-1,87.3487,1
MPLP,netherlands,48,dram,8.09675,1
MPLP,europe,48,package-0,716.519,1
MPLP,europe,48,dram,132.669,1
MPLP,europe,48,package-1,683.815,1
MPLP,europe,48,dram,127.431,1
ONLP,luxembourg,48,package-0,8.21714,1
ONLP,luxembourg,48,dram,2.11246,1
ONLP,luxembourg,48,package-1,22.9291,1
ONLP,luxembourg,48,dram,2.20869,1
ONLP,roadNet-PA,48,package-0,24.9532,1
ONLP,roadNet-PA,48,dram,5.81532,1
ONLP,roadNet-PA,48,package-1,68.1774,1
ONLP,roadNet-PA,48,dram,5.97341,1
ONLP,netherlands,48,package-0,42.0239,1
ONLP,netherlands,48,dram,8.69508,1
ONLP,netherlands,48,package-1,76.5491,1
ONLP,netherlands,48,dram,7.79278,1
PLP,uk-2002,48,package-0,435.214,1
PLP,uk-2002,48,dram,45.3215,1
PLP,uk-2002,48,package-1,420.612,1
PLP,uk-2002,48,dram,39.8004,1
ONLP,europe,48,package-0,809.806,1
ONLP,europe,48,dram,143.534,1
ONLP,europe,48,package-1,803.037,1
ONLP,europe,48,dram,139.561,1
PLP,nlpkkt200,48,package-0,6384.94,1
PLP,nlpkkt200,48,dram,528.855,1
PLP,nlpkkt200,48,package-1,5948.96,1
PLP,nlpkkt200,48,dram,598.869,1
MPLP,uk-2002,48,package-0,283.036,1
MPLP,uk-2002,48,dram,51.6265,1
MPLP,uk-2002,48,package-1,292.756,1
MPLP,uk-2002,48,dram,55.453,1
ONLP,uk-2002,48,package-0,343.736,1
ONLP,uk-2002,48,dram,62.9196,1
ONLP,uk-2002,48,package-1,281.31,1
ONLP,uk-2002,48,dram,54.7265,1
MPLP,nlpkkt200,48,package-0,1779.5,1
MPLP,nlpkkt200,48,dram,189.567,1
MPLP,nlpkkt200,48,package-1,1694.45,1
MPLP,nlpkkt200,48,dram,210.676,1
ONLP,nlpkkt200,48,package-0,4535.01,1
ONLP,nlpkkt200,48,dram,468.033,1
ONLP,nlpkkt200,48,package-1,4296.64,1
ONLP,nlpkkt200,48,dram,456.244,1
