GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime
RMAT_20_16-57-19-19-05,ONPL,1048576,16777216,2.57482,56.9901,392569,0.0729837,25,1184.63,1272.63,445.644,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,OVPL,1048576,16777216,370.39,716.486,393369,0.0721972,25,366503,366833,636.177,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,MPLM,1048576,16777216,5.76173,188.962,392913,0.0728183,25,3720.48,3987.48,641.595,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,ONPL,4194304,67108864,17.3141,241.671,1774370,0.0638993,25,9123.9,11583.9,2057.26,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,OVPL,4194304,67108864,149.716,916.02,1773650,0.0444058,25,122998,132833,5080.4,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,MPLM,4194304,67108864,18.1811,460.173,1773083,0.0647021,25,9932.81,12315.8,2345.06,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,ONPL,8388608,134217728,58.8429,1081.55,3737777,0.055313,25,32690.2,43015.2,5488.54,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,OVPL,8388608,134217728,375.763,1684.69,3739646,0.0409316,25,298204,340075,11488.3,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,MPLM,8388608,134217728,71.1458,1221.6,3739231,0.0495556,25,38150.6,52988.6,7052.35,0,48,LL,0,0,0
