Version,Graph Name,Threads,Event,Power,Iteration
MPLP,roadNet-PA,36,dram,2.53209,1
PLP,nlpkkt200,36,package-0,5928.43,1
PLP,nlpkkt200,36,dram,640.49,1
PLP,nlpkkt200,36,package-1,5776.36,1
PLP,nlpkkt200,36,dram,613.168,1
PLP,uk-2002,36,package-0,714.783,1
PLP,uk-2002,36,dram,73.5885,1
PLP,uk-2002,36,package-1,623.619,1
PLP,uk-2002,36,dram,55.4858,1
MPLP,nlpkkt200,36,package-0,2230.21,1
MPLP,nlpkkt200,36,dram,287.7,1
MPLP,nlpkkt200,36,package-1,2201.46,1
MPLP,nlpkkt200,36,dram,293.264,1
MPLP,uk-2002,36,package-0,225.952,1
MPLP,uk-2002,36,dram,36.4564,1
MPLP,uk-2002,36,package-1,257.529,1
MPLP,uk-2002,36,dram,50.419,1
PLP,333SP,36,package-0,114.462,1
PLP,333SP,36,dram,15.9165,1
PLP,333SP,36,package-1,103.376,1
PLP,333SP,36,dram,10.9248,1
MPLP,333SP,36,package-0,59.9622,1
MPLP,333SP,36,dram,14.6048,1
MPLP,333SP,36,package-1,79.2922,1
MPLP,333SP,36,dram,12.0306,1
PLP,AS365,36,package-0,94.436,1
PLP,AS365,36,dram,9.47376,1
PLP,AS365,36,package-1,90.182,1
PLP,AS365,36,dram,12.0682,1
PLP,M6,36,package-0,148.203,1
PLP,M6,36,dram,15.6893,1
PLP,M6,36,package-1,128.24,1
PLP,M6,36,dram,14.9599,1
MPLP,AS365,36,package-0,69.5422,1
MPLP,AS365,36,dram,13.8674,1
MPLP,AS365,36,package-1,80.8658,1
MPLP,AS365,36,dram,12.2422,1
MPLP,M6,36,package-0,67.7447,1
MPLP,M6,36,dram,9.45442,1
MPLP,M6,36,package-1,84.1763,1
MPLP,M6,36,dram,13.6005,1
PLP,NACA0015,36,package-0,32.0948,1
PLP,NACA0015,36,dram,4.44817,1
PLP,NACA0015,36,package-1,30.2495,1
PLP,NACA0015,36,dram,3.52128,1
MPLP,NACA0015,36,package-0,22.4789,1
MPLP,NACA0015,36,dram,6.1265,1
MPLP,NACA0015,36,package-1,50.5169,1
MPLP,NACA0015,36,dram,5.46071,1
PLP,Oregon-2,36,package-0,0.931089,1
PLP,Oregon-2,36,dram,0.151776,1
PLP,Oregon-2,36,package-1,0.983335,1
PLP,Oregon-2,36,dram,0.148823,1
PLP,NLR,36,package-0,110.398,1
PLP,NLR,36,dram,12.7013,1
PLP,NLR,36,package-1,101.938,1
PLP,NLR,36,dram,12.4396,1
MPLP,Oregon-2,36,package-0,2.00549,1
MPLP,Oregon-2,36,dram,0.480987,1
MPLP,Oregon-2,36,package-1,5.07311,1
MPLP,Oregon-2,36,dram,0.479318,1
MPLP,NLR,36,package-0,78.3893,1
MPLP,NLR,36,dram,15.6089,1
MPLP,NLR,36,package-1,91.3087,1
MPLP,NLR,36,dram,13.9722,1
PLP,belgium,36,package-0,35.321,1
PLP,belgium,36,dram,3.75708,1
PLP,belgium,36,package-1,31.8786,1
PLP,belgium,36,dram,3.31156,1
PLP,asia,36,package-0,346.742,1
PLP,asia,36,dram,45.2412,1
PLP,asia,36,package-1,322.32,1
PLP,asia,36,dram,40.0945,1
MPLP,belgium,36,package-0,18.5213,1
MPLP,belgium,36,dram,3.46606,1
MPLP,belgium,36,package-1,40.344,1
MPLP,belgium,36,dram,4.37208,1
MPLP,asia,36,package-0,142.056,1
MPLP,asia,36,dram,27.7031,1
MPLP,asia,36,package-1,128.436,1
MPLP,asia,36,dram,28.6655,1
PLP,delaunay_n24,36,package-0,768.919,1
PLP,delaunay_n24,36,dram,90.2568,1
PLP,delaunay_n24,36,package-1,684.075,1
PLP,delaunay_n24,36,dram,67.7519,1
PLP,kkt_power,36,package-0,67.2039,1
PLP,kkt_power,36,dram,6.93076,1
PLP,kkt_power,36,package-1,61.8833,1
PLP,kkt_power,36,dram,6.52961,1
PLP,in-2004,36,package-0,58.7352,1
PLP,in-2004,36,dram,5.07896,1
PLP,in-2004,36,package-1,58.4162,1
PLP,in-2004,36,dram,7.24931,1
PLP,germany,36,package-0,635.648,1
PLP,germany,36,dram,74.3384,1
PLP,germany,36,package-1,569.892,1
PLP,germany,36,dram,66.0098,1
MPLP,delaunay_n24,36,package-0,246.746,1
MPLP,delaunay_n24,36,dram,39.8274,1
MPLP,delaunay_n24,36,package-1,272.903,1
MPLP,delaunay_n24,36,dram,50.4085,1
PLP,europe,36,package-0,3371.82,1
PLP,europe,36,dram,432.001,1
PLP,europe,36,package-1,3301.25,1
PLP,europe,36,dram,352.471,1
MPLP,kkt_power,36,package-0,28.4792,1
MPLP,kkt_power,36,dram,5.08866,1
MPLP,kkt_power,36,package-1,48.1488,1
MPLP,kkt_power,36,dram,5.3722,1
MPLP,in-2004,36,package-0,24.4198,1
MPLP,in-2004,36,dram,4.40583,1
MPLP,in-2004,36,package-1,46.4025,1
MPLP,in-2004,36,dram,4.86727,1
MPLP,germany,36,package-0,149.573,1
MPLP,germany,36,dram,30.6247,1
MPLP,germany,36,package-1,140.467,1
MPLP,germany,36,dram,25.9594,1
MPLP,europe,36,package-0,594.819,1
MPLP,europe,36,dram,132.213,1
MPLP,europe,36,package-1,532.819,1
MPLP,europe,36,dram,105.229,1
PLP,luxembourg,36,package-0,3.20519,1
PLP,luxembourg,36,dram,0.389447,1
PLP,luxembourg,36,package-1,2.82244,1
PLP,luxembourg,36,dram,0.375202,1
PLP,loc-gowalla_edges,36,package-0,10.2298,1
PLP,loc-gowalla_edges,36,dram,1.16607,1
PLP,loc-gowalla_edges,36,package-1,13.2849,1
PLP,loc-gowalla_edges,36,dram,1.57048,1
MPLP,luxembourg,36,package-0,5.41796,1
MPLP,luxembourg,36,dram,1.41129,1
MPLP,luxembourg,36,package-1,15.9064,1
MPLP,luxembourg,36,dram,1.48803,1
MPLP,loc-gowalla_edges,36,package-0,12.6499,1
MPLP,loc-gowalla_edges,36,dram,2.56329,1
MPLP,loc-gowalla_edges,36,package-1,29.4564,1
MPLP,loc-gowalla_edges,36,dram,2.94294,1
PLP,netherlands,36,package-0,153.674,1
PLP,netherlands,36,dram,17.1691,1
PLP,netherlands,36,package-1,144.008,1
