GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
europe,PLP,50912018,54054660,28.7194,1025.19,899239,0.961729,25,0,28640,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.34416,7.60824,25872,0.941329,25,0,104,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.94516,28.3886,251232,0.954675,25,0,625,0,0,36,LL,0,0
europe,MPLP,50912018,54054660,8.38103,107.315,900291,0.961605,25,0,2623,0,0,36,LL,0,0
luxembourg,PLP,114599,119666,0.0307835,0.811467,1895,0.965554,25,0,16,0,0,36,LL,0,0
loc-gowalla_edges,PLP,196591,950327,0.0996287,2.85928,675,0.510386,25,0,58,0,0,36,LL,0,0
luxembourg,MPLP,114599,119666,0.131222,2.28346,1808,0.966093,25,0,34,0,0,36,LL,0,0
loc-gowalla_edges,MPLP,196591,950327,0.217721,4.47547,220,0.491863,25,0,102,0,0,36,LL,0,0
netherlands,PLP,2216688,2441238,1.28173,45.086,92657,0.918223,25,0,1234,0,0,36,LL,0,0
netherlands,MPLP,2216688,2441238,0.560904,9.2863,91815,0.918822,25,0,220,0,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.194037,5.68073,31376,0.900705,25,0,156,0,0,36,LL,0,0
roadNet-PA,MPLP,1088092,1541898,0.277222,4.57654,30748,0.901556,25,0,126,0,0,36,LL,0,0
uk-2002,PLP,18520486,261787258,3.36574,119.453,248366,0.960655,25,0,3303,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,83.1807,2965.28,2658954,0.356433,25,0,83118,0,0,36,LL,0,0
M6,PLP,3501776,10501936,0.85397,30.2573,88185,0.817106,25,0,831,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,0.755661,26.4951,94262,0.820652,25,0,708,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,0.974616,34.5291,63180,0.856611,25,0,951,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.798733,16.873,88542,0.816456,25,0,358,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.84136,18.3865,94400,0.820018,25,0,362,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.975938,20.0491,60404,0.857604,25,0,490,0,0,36,LL,0,0
uk-2002,MPLP,18520486,261787258,3.26003,49.8474,248941,0.960741,25,0,1145,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,20.3629,661.379,1999611,0.43943,25,0,18414,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0334369,0.560586,427,0.410651,25,0,2,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,1.21652,42.8907,105006,0.817188,25,0,1171,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.242043,7.57345,26234,0.816642,25,0,200,0,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.0363128,0.543538,381,0.0951151,25,0,2,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.243261,7.44587,26522,0.815552,25,0,97,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,0.939,20.7469,103448,0.818038,25,0,408,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.342929,11.9558,29840,0.950364,25,0,319,0,0,36,LL,0,0
asia,PLP,11950757,12711603,2.10049,74.2642,156423,0.968768,25,0,2044,0,0,36,LL,0,0
belgium,MPLP,1441295,1549970,0.399373,7.96165,28494,0.951971,25,0,125,0,0,36,LL,0,0
asia,MPLP,11950757,12711603,1.93706,27.2857,156234,0.968789,25,0,534,0,0,36,LL,0,0
delaunay_n24,PLP,16777216,50331601,4.02478,142.431,516468,0.809288,25,0,3957,0,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.23547,53.9039,516380,0.809324,25,0,1310,0,0,36,LL,0,0
europe,PLP,50912018,54054660,9.0851,322.939,899485,0.961713,25,0,9004,0,0,36,LL,0,0
germany,PLP,11548845,12369181,2.03707,72.1456,256046,0.953971,25,0,1998,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.97261,24.9246,255186,0.954123,25,0,546,0,0,36,LL,0,0
europe,MPLP,50912018,54054660,8.37812,104.283,899159,0.961627,25,0,2556,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.271882,9.32685,25919,0.940419,25,0,249,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.390167,6.67017,25818,0.939524,25,0,94,0,0,36,LL,0,0
loc-gowalla_edges,PLP,196591,950327,0.13859,4.30502,516,0.513615,25,0,97,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.531842,17.4877,38669,0.755446,25,0,518,0,0,36,LL,0,0
loc-gowalla_edges,MPLP,196591,950327,0.0731207,0.907766,31,0.132805,25,0,30,0,0,36,LL,0,0
kkt_power,MPLP,2063494,6482320,0.458814,10.7148,38161,0.756852,25,0,173,0,0,36,LL,0,0
luxembourg,PLP,114599,119666,0.0435993,1.20377,1916,0.965079,25,0,25,0,0,36,LL,0,0
luxembourg,MPLP,114599,119666,0.130158,2.38975,1743,0.96645,25,0,53,0,0,36,LL,0,0
netherlands,PLP,2216688,2441238,0.465756,16.3692,92715,0.918178,25,0,442,0,0,36,LL,0,0
netherlands,MPLP,2216688,2441238,0.383041,8.97925,92450,0.918334,25,0,113,0,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.261436,8.61504,31846,0.900239,25,0,219,0,0,36,LL,0,0
roadNet-PA,MPLP,1088092,1541898,0.277341,5.46374,30360,0.902286,25,0,78,0,0,36,LL,0,0
uk-2002,PLP,18520486,261787258,3.31507,117.825,248087,0.960746,25,0,3270,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,0.999694,35.0115,63442,0.85663,25,0,948,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.892143,19.0906,64237,0.854931,25,0,414,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,69.6687,2489.12,2771043,0.353269,25,0,69631,0,0,36,LL,0,0
uk-2002,MPLP,18520486,261787258,3.32295,41.3016,248780,0.960692,25,0,1138,0,0,36,LL,0,0
M6,PLP,3501776,10501936,0.89039,31.457,88409,0.816864,25,0,866,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,1.01601,35.6197,94455,0.820606,25,0,968,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.786276,17.1674,87325,0.817569,25,0,339,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.890716,17.3343,93213,0.821062,25,0,385,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,20.4809,672.677,2486831,0.403349,25,0,18664,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.267971,9.27738,26376,0.816197,25,0,249,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.248422,5.11371,26380,0.815812,25,0,101,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0376491,0.683726,405,0.209843,25,0,3,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,1.37446,48.8264,105103,0.817124,25,0,1350,0,0,36,LL,0,0
asia,PLP,11950757,12711603,2.11904,69.7793,157378,0.968616,25,0,2084,0,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.0424254,0.713526,401,0.114465,25,0,8,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,0.923919,19.5694,103775,0.81766,25,0,412,0,0,36,LL,0,0
asia,MPLP,11950757,12711603,1.91339,26.4385,156011,0.968833,25,0,557,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.279393,9.66575,29961,0.950194,25,0,258,0,0,36,LL,0,0
belgium,MPLP,1441295,1549970,0.470569,9.3304,27197,0.953527,25,0,262,0,0,36,LL,0,0
