GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime,Scale,EdgeFactor,a,b,c,d
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,16777216,3.19165,94.791,58911,0.115725,25,1149.24,1579.24,464.743,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.34776,16.1236,58901,0,25,0,345,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,17.3318,277.224,14031,0.125905,25,14244,16416,366.61,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.36887,16.593,58902,-1.77636e-15,25,0,365,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.342308,15.9856,58901,0,25,0,340,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.376611,17.393,58901,0,25,0,374,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.361921,16.6671,58901,0,25,0,359,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.376776,17.7484,58901,0,25,0,374,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLM,1048576,16777216,28.0442,325.216,58677,0.111411,25,9457.86,26395.9,526.043,0,48,L1D,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.355473,16.4977,58901,0,25,0,352,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.369372,16.6758,58901,0,25,0,366,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,18.7422,326.591,392959,0.0726419,25,9946.14,17433.1,455.829,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.346774,16.1704,58901,0,25,0,344,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.374745,17.1905,58901,0,25,0,372,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.353134,16.2568,58901,0,25,0,350,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.353334,16.5186,58901,0,25,0,350,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.384855,13.892,58904,-1.06581e-14,25,0,255,0,0,48,LL,0,0,4.4e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.355487,12.5563,58901,0,25,0,228,0,0,48,LL,0,0,5.1e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.381603,13.7773,58901,0,25,0,254,0,0,48,LL,0,0,2.8e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.362729,12.9088,58904,-1.06581e-14,25,0,236,0,0,48,LL,0,0,3.1e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.40774,13.9489,58901,0,25,0,257,0,0,48,LL,0,0,3.03e-07,20,16,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,24.4048,247.768,295493,0.0536856,25,21771.8,22979.8,577.979,0,48,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,15.0558,250.688,14031,0.125198,25,12046.7,14132.7,365.349,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.345693,11.331,58903,-5.32907e-15,25,0,219,0,0,48,LL,0,0,6.5e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.375669,12.9455,58904,-1.06581e-14,25,0,248,0,0,48,LL,0,0,5e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.359699,12.4835,58903,-5.32907e-15,25,0,233,0,0,48,LL,0,0,1.2e-07,20,16,0.33,0.33,0.33,0.01
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,PLM,1048576,33554432,22.8241,232.821,2623,0.0898232,25,21518.3,21543.3,545.965,0,48,L1D,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.375507,13.3683,58903,-5.32907e-15,25,0,248,0,0,48,LL,0,0,1.19e-07,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.360439,12.8097,58903,-5.32907e-15,25,0,233,0,0,48,LL,0,0,5.1e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.380624,13.6102,58902,-1.77636e-15,25,0,253,0,0,48,LL,0,0,5.9e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.355513,12.3155,58904,-1.06581e-14,25,0,228,0,0,48,LL,0,0,7e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.277981,8.56581,58901,0,25,0,149,0,0,48,LL,0,0,1.21e-07,20,16,0.33,0.33,0.33,0.01
